participant_id,n_trials,viterbi_states,means,covars,transmat,state_labels,log_likelihood
5987bfb80e411a0001d83837,48,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[9.326409885771147], [47.89742869330806]]","[[[50.903315599054366]], [[1060.384244736454]]]","[[0.9154656036395338, 0.08453439636046613], [0.9999919086383264, 8.091361673645877e-06]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-176.3031846675498
5b2150d538b0be00014137fb,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[9.995997198175932], [23.53870646035488]]","[[[31.632070019178062]], [[44.82098785463244]]]","[[0.8208409393200877, 0.17915906067991227], [0.9153668815396583, 0.08463311846034173]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-163.24398290551437
5d83b53430e67e0018bf3b38,48,"[1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[[4.306448984025435], [18.40068450949042]]","[[[3.014598560470414]], [[73.46727029221871]]]","[[0.2578679474341545, 0.7421320525658456], [0.31464749804153314, 0.685352501958467]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-169.06832847808394
5dd0dce9ed7ea418f59810e4,48,"[1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]","[[3.0412867256913954], [19.641343424266942]]","[[[6.104628592888299]], [[87.24610516062415]]]","[[0.47250000179786383, 0.5274999982021362], [0.46354377244662626, 0.5364562275533736]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-169.73423803748642
5e6473fbc15dbe1f71eea95b,48,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[[9.03206166163949], [35.6933127011219]]","[[[38.42188689974248]], [[326.07972869819463]]]","[[0.6628187226495847, 0.3371812773504153], [0.6307703089948752, 0.3692296910051248]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-191.76268338545026
5e92178e8ee4fe54b65b7c39,48,"[0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0]","[[4.0911110862925115], [15.796068143277312]]","[[[4.7749245911903495]], [[59.98702673554596]]]","[[0.39916574759798484, 0.6008342524020153], [0.3665727715362215, 0.6334272284637786]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-162.55203822113802
5ee7fbc114d0a60f9b076fb6,48,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0]","[[5.06882236130002], [16.79222876947918]]","[[[9.717594771890349]], [[31.17403440615451]]]","[[0.5865969176999634, 0.4134030823000366], [0.8335256253747747, 0.1664743746252253]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-152.92674198869275
602e48dbf732e9962e27fdbd,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[[12.291386625451434], [34.61348801147716]]","[[[54.96268063366431]], [[63.032670995026926]]]","[[0.9018161822307232, 0.09818381776927676], [0.533628713166402, 0.4663712868335979]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-178.08669000714596
60a59d92b7363e85a2945dde,48,"[0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0]","[[12.28589334222746], [39.88663408938412]]","[[[33.52183167472137]], [[113.01030719850122]]]","[[0.6480074786670155, 0.3519925213329845], [0.5534821360467119, 0.4465178639532881]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-189.708252625251
60fcd2ade28cc412d542108c,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0]","[[6.387843360934159], [38.43016595963776]]","[[[13.595576736097065]], [[735.5851607744409]]]","[[0.6485972475852546, 0.35140275241474533], [0.35937385245595954, 0.6406261475440406]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-198.97956636494033
