subject,frac_exploit,switch_count,mean_run_explore,mean_run_exploit,A,B,pi,state_labels,states,observations,mapped_observations,loglik
596634e005f2df00017281ae,0.02,1,49.0,1.0,"[[0.9401925502982571, 0.059807449701742864], [0.00017360590022207946, 0.9998263940997779]]","[[0.0, 4.5823739788929594e-24, 1.0], [0.0, 0.030104064908589013, 0.969895935091411]]","[0.9996391589500719, 0.00036084104992816353]","{1: 'explore', 0: 'exploit'}","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2]",-4.630343599994497
5cfd24ccf8ff8a00017319d0,0.06,1,47.0,3.0,"[[0.9984916526284922, 0.0015083473715078104], [0.4369171002689683, 0.5630828997310316]]","[[0.1682420707318579, 0.4836959533540915, 0.3480619759140505], [1.652811527957959e-34, 9.660001173255494e-38, 1.0]]","[2.942782761921142e-73, 1.0]","{0: 'explore', 1: 'exploit'}","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 0, -1, 0, 1, 1, 1, 0, 0, 0, 1, 0, -1, 0, 1, -1, 0, 0, 1, -1, 1, 0, 1, 0, 0, -1, 1, 0, -1, 1, 1, 1, 1, -1, 1, 0, -1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[2, 2, 2, 1, 1, 0, 1, 2, 2, 2, 1, 1, 1, 2, 1, 0, 1, 2, 0, 1, 1, 2, 0, 2, 1, 2, 1, 1, 0, 2, 1, 0, 2, 2, 2, 2, 0, 2, 1, 0, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1]",-49.13521668366063
6133a0d1026a4b5c9c5aaa43,0.92,7,1.0,11.5,"[[0.0, 1.0], [0.06659850944754209, 0.9334014905524579]]","[[0.9999999999997232, 2.0092778505825946e-13, 7.589444566431012e-14], [6.250840602276805e-05, 0.43475543112780923, 0.565182060466168]]","[1.0, 9.297266654002519e-160]","{0: 'explore', 1: 'exploit'}","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[-1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, -1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, -1, 1, 1, 1, 0, 1, 1, -1, 1, 1, 1, 1]","[0, 1, 2, 1, 2, 1, 1, 2, 1, 1, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 2, 0, 1, 1, 2, 1, 2, 2, 1, 2, 1, 2, 2, 2, 1, 1, 1, 1, 0, 2, 2, 2, 1, 2, 2, 0, 2, 2, 2, 2]",-42.514698474138854
66534b438dbae7a1d0a36a08,0.96,1,2.0,48.0,"[[0.9999974988570969, 2.5011429031661683e-06], [0.6386803930211743, 0.36131960697882576]]","[[0.5781045580941953, 0.2773691259570937, 0.14452631594871101], [2.1827484414755666e-05, 0.9999781725155852, 5.887146893536232e-39]]","[1.2293724785681522e-14, 0.9999999999999877]","{1: 'explore', 0: 'exploit'}","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, -1, 0, -1, -1, 1, 0, -1, 1, -1, -1, -1, -1, -1, -1, 0, -1, 0, -1, 1, 0, -1, -1, 0, -1, 0, 1, -1, 0, -1, 0, -1, -1, 0, -1, -1, 0, 1, 0, -1, 1, -1, -1, -1, -1, 0, 1, -1, -1]","[1, 1, 0, 1, 0, 0, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 1, 0, 0, 1, 0, 1, 2, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 2, 1, 0, 2, 0, 0, 0, 0, 1, 2, 0, 0]",-46.45213959264368
666306b0bf2de127943c419f,0.78,1,11.0,39.0,"[[0.9855516463494449, 0.01444835365055507], [0.026180298231720897, 0.973819701768279]]","[[0.4689959935829653, 0.288470644436807, 0.2425333619802278], [0.1462632440109047, 0.3293369871707672, 0.524399768818328]]","[6.2677106165259436e-46, 1.0]","{0: 'explore', 1: 'exploit'}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 1, -1, 1, 0, 1, 1, -1, 1, 1, 1, 0, 1, 0, -1, 1, 1, 0, -1, 1, 0, 0, 1, 0, 1, -1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, -1, -1, 0, -1, -1, 0, 1, -1, -1, 0, 1]","[1, 1, 2, 2, 2, 0, 2, 1, 2, 2, 0, 2, 2, 2, 1, 2, 1, 0, 2, 2, 1, 0, 2, 1, 1, 2, 1, 2, 0, 2, 2, 1, 2, 1, 1, 2, 2, 1, 2, 0, 0, 1, 0, 0, 1, 2, 0, 0, 1, 2]",-52.16306727723852
667aca76f4fb2f1d50d80c2e,1.0,0,,50.0,"[[0.71934022909999, 0.28065977090001], [0.043467105259018056, 0.956532894740982]]","[[0.0, 0.19068163720925305, 0.8093183627907469], [0.0, 0.13267025126758825, 0.8673297487324119]]","[0.0013705721280257656, 0.9986294278719743]","{0: 'explore', 1: 'exploit'}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]","[2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2]",-20.239499043903752
66c9b31cbfa4d79905b6414d,0.46,10,4.5,4.6,"[[0.6785953362989621, 0.3214046637010379], [0.23419960091087635, 0.7658003990891236]]","[[0.09235915532995734, 0.9076142843002477, 2.6560369794995775e-05], [1.7090605122623282e-12, 0.3649967556973917, 0.6350032443008992]]","[1.0, 3.68689434715989e-22]","{0: 'explore', 1: 'exploit'}","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, -1]","[1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 0, 1, 1, 2, 1, 2, 2, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 1, 2, 1, 2, 2, 1, 1, 0]",-38.288865160475304
6712618d06bcc8e18704a774,0.9,1,5.0,45.0,"[[0.8021945381661374, 0.19780546183386255], [0.02522894683180844, 0.9747710531681916]]","[[0.0804060164430308, 0.9195677587339663, 2.6224823002843947e-05], [0.1042322859749011, 0.5552935853939016, 0.3404741286311973]]","[1.0, 1.940870390716937e-26]","{0: 'explore', 1: 'exploit'}","[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, 1, 1, 0, 0, -1, -1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1]","[1, 1, 1, 1, 1, 0, 1, 2, 1, 1, 1, 2, 2, 1, 1, 0, 0, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 2, 2, 1, 2, 1, 2, 2, 0, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0]",-42.86763696692355
673757f92aa69c13b7841d90,0.86,1,7.0,43.0,"[[0.865957886770148, 0.13404211322985196], [8.622680964794354e-09, 0.999999991377319]]","[[0.5361682766405299, 0.13404213396626327, 0.3297895893932069], [1.980757693504085e-13, 0.09402989892819665, 0.9059701010716052]]","[1.0, 1.075935524602867e-30]","{0: 'explore', 1: 'exploit'}","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, -1, 1, -1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]","[1, 2, 0, 2, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2]",-22.523663904303707
673a1dcffde7de9c08f6d2e6,0.14,1,43.0,7.0,"[[0.9999896212346653, 1.0378765334742063e-05], [0.14040992258348964, 0.8595900774165104]]","[[0.07462456714104551, 0.563447612525633, 0.36192782033332144], [0.11235008692330307, 0.25852635151551395, 0.629123561561183]]","[1.6828427262913208e-15, 0.9999999999999983]","{0: 'explore', 1: 'exploit'}","[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, -1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, -1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, -1, -1]","[1, 2, 2, 2, 0, 2, 2, 1, 1, 1, 2, 2, 1, 2, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 0, 2, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 2, 2, 1, 1, 0, 0]",-44.66999062822119
