participant_id,n_trials,viterbi_states,means,covars,transmat,state_labels,log_likelihood
5987bfb80e411a0001d83837,48,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[9.326448756372038], [47.898933836078626]]","[[[50.90397655760607]], [[1060.3880340926848]]]","[[0.9154700167165307, 0.08452998328346928], [0.9999952182201413, 4.781779858751305e-06]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-176.30317732605084
5b2150d538b0be00014137fb,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[9.78807677630328], [22.278887306629343]]","[[[30.685053252727673]], [[50.07878205229631]]]","[[0.782773195502703, 0.217226804497297], [0.8998723474122392, 0.10012765258776087]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-163.24556951836541
5d83b53430e67e0018bf3b38,48,"[1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[[4.306789573343309], [18.40136396041586]]","[[[3.015681438746132]], [[73.46332062003671]]]","[[0.2578793452028721, 0.742120654797128], [0.3147059825895115, 0.6852940174104886]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-169.06833957196517
5dd0dce9ed7ea418f59810e4,48,"[1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]","[[3.0410039122533803], [19.640503972680833]]","[[[6.103438246363465]], [[87.25181040089761]]]","[[0.4724826742475785, 0.5275173257524216], [0.4634932916968316, 0.5365067083031685]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-169.73422916948132
5e6473fbc15dbe1f71eea95b,46,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[[8.513825617011799], [30.203689365944665]]","[[[34.65843972101875]], [[171.11893730445243]]]","[[0.6002991373568208, 0.39970086264317917], [0.7537832783339142, 0.24621672166608574]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-176.3292812956437
5e92178e8ee4fe54b65b7c39,48,"[0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0]","[[4.090837176328846], [15.794581189243774]]","[[[4.773454422987565]], [[59.99546416265227]]]","[[0.3991544566109603, 0.6008455433890397], [0.3664415963255401, 0.63355840367446]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-162.55202609064997
5ee7fbc114d0a60f9b076fb6,48,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0]","[[5.068638570948969], [16.79106346585239]]","[[[9.716719090082949]], [[31.182202120835836]]]","[[0.5865427474617138, 0.4134572525382863], [0.8334704223855508, 0.16652957761444914]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-152.92673139700776
602e48dbf732e9962e27fdbd,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[[12.289712244490625], [34.602011015616554]]","[[[54.95131076051943]], [[63.136428419732916]]]","[[0.901704850467587, 0.09829514953241299], [0.5336430396788592, 0.46635696032114077]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-178.08672958416676
60a59d92b7363e85a2945dde,48,"[0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0]","[[12.285916353719285], [39.88671031977367]]","[[[33.522062781982854]], [[113.00918798943516]]]","[[0.6480097982204484, 0.3519902017795517], [0.5534822190714956, 0.4465177809285044]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-189.70825224320262
60fcd2ade28cc412d542108c,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0]","[[6.3877866951319815], [38.4296170746918]]","[[[13.59532199504545]], [[735.5873390669706]]]","[[0.6486034936473415, 0.3513965063526585], [0.3593533730928429, 0.6406466269071571]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-198.97956582416387
