subject,alpha_0,alpha_1,beta,c_black,log_posterior,log_likelihood,n_trials,n_ooz,n_non_ooz,N,kappa
5987bfb80e411a0001d83837,0.03841999546487656,0.08953280578875868,0.3163465649600392,-0.3078055901273851,-39.880717935088626,-32.58141541471867,47,16,31,4,2.0
5b2150d538b0be00014137fb,0.0037997193804321537,0.06420537749314302,1.4746428412720403,-0.22410676850751554,-39.503816642239755,-30.779952938254322,48,12,36,4,2.0
5d83b53430e67e0018bf3b38,0.007986795839256324,0.21155303908884762,0.05044231741831807,0.19219617527866456,-30.651973480142,-20.788871616691353,48,10,38,4,2.0
5dd0dce9ed7ea418f59810e4,0.046395853784413674,0.05326375409755441,0.40116093371118366,1.0553321688213695,-34.53755645256165,-27.02015066773198,48,12,36,4,2.0
5e6473fbc15dbe1f71eea95b,0.014145915220287983,0.04841331325620167,2.9001316478999053,-0.003251160111385352,-33.58972831285222,-26.111799998643768,44,16,28,4,2.0
5e92178e8ee4fe54b65b7c39,0.05204497472143766,0.0050834039679163445,0.3673336843814776,1.0632566792661133,-32.747633721812086,-22.9606330466367,48,19,29,4,2.0
5ee7fbc114d0a60f9b076fb6,0.00796535175295835,0.08088573933156624,1.2643361035585008,1.1334223861797457,-32.55464774205015,-24.54166340100605,48,18,30,4,2.0
602e48dbf732e9962e27fdbd,0.015055927494775332,0.046270691503229794,3.6319827775538713,0.39256732891007967,-36.086627461182346,-28.58891440989978,47,9,38,4,2.0
60a59d92b7363e85a2945dde,0.023946068272691853,0.04694756813111422,1.3619285342466962,0.45779423948170456,-33.012144240327636,-25.75208369949028,42,14,28,4,2.0
60fcd2ade28cc412d542108c,0.08670971839907896,0.00501757186467149,0.16589352279767017,-0.19887817083982862,-32.37725038372405,-22.45907782666816,42,10,32,4,2.0
612376826a580ca0368bb19f,0.006736779668704307,0.4747163802692232,1.0831081649702132,-0.3890279083611662,-33.91810824849503,-26.9964103219737,47,12,35,4,2.0
615ab5adc70f6edcacba5860,0.03019180073888637,0.4128484398094817,0.23856744134555286,-0.8382290112216767,-27.889191400761288,-21.114956972491644,41,8,33,4,2.0
6162fc52fa68079d28dc5be9,0.032478395241503685,0.11382586403465848,0.5637811262085458,0.2529121239638844,-34.96049227807231,-28.21156412946997,45,13,32,4,2.0
63039f41fa5c21d483996be2,0.03100679687819091,0.06615316194563291,1.6886953621668306,0.8599218885614047,-35.46564623889919,-28.819207526237747,47,10,37,4,2.0
650f65aac58fe4dc08bbe23f_2,0.018631391411307773,0.041598915663852085,1.9147949773594746,-0.04092317055858076,-39.53198837999087,-32.093448601324724,47,12,35,4,2.0
654fd3d72b14d852c7fff2b4,0.012624764084898545,0.13445566688978047,1.4518387052487427,0.11630862344425578,-36.17697804365251,-29.30266276411293,45,9,36,4,2.0
6550edd3c5d5a51c51ab1224,0.040455136213250927,0.07470603090657608,0.6588231987262051,0.12592510107400118,-38.06651388588685,-31.28113647479146,47,13,34,4,2.0
656bb5b282d8f0267db9d167,0.03545631771127132,0.06438220187868422,1.139156145237729,0.5333977448209056,-36.81200021785609,-30.11619351228801,46,14,32,4,2.0
65ccca52871269168cc029b5,0.022580461589947514,0.1446018939573423,2.0060983910910144,-1.290440970942319,-30.286563391515834,-23.976640823525923,48,9,39,4,2.0
65f2f5ae1f9747ed36bd7226,0.013917606606345102,0.5702619709327862,1.7635646446182436,0.013712855430189328,-36.846471014154076,-30.905283542751697,48,2,46,4,2.0
65feaaac53eb219f09ad5ea0,0.060681012811140855,0.029369241205789105,0.8643018279404256,0.7775558062719782,-33.764113159980454,-26.606472732320803,46,15,31,4,2.0
65ff850ad8ac7b0e4cf9ec57,0.07222727265392344,0.01229094300512404,0.5430486629470718,0.062074405764320516,-35.600312020444456,-27.46830066936301,43,14,29,4,2.0
660bdc29f5dec2745c7e7ee3,0.05971458171782766,0.027573981307845153,0.6558742656542793,0.31004065091798283,-35.248799979148394,-27.87198725531937,48,9,39,4,2.0
660d675bbdf59327d9deb4ad,0.08846841603986541,0.049902611978484356,0.09615647507775656,1.449962559955666,-29.395447147952247,-20.9664148173031,43,12,31,4,2.0
6613f83d1a9cf059d0af91ec,0.08672680358336966,0.02011643432660419,0.3734069830075608,-0.2646195851521227,-37.743189070987256,-29.93683723824122,48,15,33,4,2.0
6614fb6af3c5aa23b962ea2d,0.03349948305804149,0.013930069943708052,6.900005521225673,1.044888633409809,-27.116716146525558,-18.66793894234173,46,10,36,4,2.0
6631997e0554bb6d25062fd4,0.018567858385000392,0.16674172026718154,7.095130660581768,0.547309393402757,-28.107970769530734,-21.46031462704237,48,7,41,4,2.0
663636e1e732142a9c211523,0.04598121886844887,0.2098599794802161,0.0008951977090167236,1.460086929177607,-31.429602683347355,-18.995111225783432,45,16,29,4,2.0
664c9a37d570871d534dd3c2,0.0077256265597803065,0.00988405094960293,6.352850506137625,-0.015008738103828375,-32.878740540391654,-22.886473771566045,39,15,24,4,2.0
66723b1f7c3cf6961f0868a3,0.026972338744270317,0.10968803777625709,1.1210457905507138,1.1626328015030354,-30.007565955712742,-23.386805766899997,48,11,37,4,2.0
667a7ab2a6179deb78e9dd1a,0.05991812035273424,0.015074148692868486,0.15492307188784024,0.06311724044803078,-39.48647393494728,-30.2571894504495,47,13,34,4,2.0
667bd577710d52a05ac09036,0.034000361469630334,0.2548229956326043,0.40339328434929467,0.4246660158424463,-29.338129987877423,-22.97019270215407,36,8,28,4,2.0
669533c82c03a4d6320159d3,0.0019148246967732282,0.025716148962331684,10.654381849293902,-0.2957378668364393,-30.110486316524515,-18.74153841273382,48,16,32,4,2.0
66b0cd32e02e57ac86e82550,0.023302545054351212,0.29220190344876845,0.3996730833292011,-0.7711787099089791,-21.27649014603304,-14.567348796549991,46,17,29,4,2.0
66b0ce2b37f5b9ab41e82585,0.00468884512028576,0.013842726225711597,11.652113683315674,0.2371043358611209,-23.839611520867898,-12.517038922236114,43,10,33,4,2.0
66cc85c87017ef38adbaebc6,0.03430942895302305,0.5716362098154262,0.21822780017905619,0.009900378315456803,-36.32124872363936,-29.686204875892237,48,9,39,4,2.0
67911b9be5af0ac0763a28c7,0.011921416158116862,0.015044080681382532,11.739306863416326,-0.17405527979263738,-31.729355206890716,-21.396276502029988,48,9,39,4,2.0
67cc3f4c640c0ff4df30a225,0.038639000207102994,0.02318607459022936,2.939665489132634,-0.4403947769083431,-29.441055801559017,-22.208867354497993,43,11,32,4,2.0
67d1d172e049a486152a5ce9,0.02948546377822903,0.08195779597049735,1.3239299255701305,-1.3149042578455716,-23.561805141746582,-16.818337141007618,38,13,25,4,2.0
67eb5332af03cf75862d5e87,0.03642198186028594,0.10045818514972886,0.390637691377769,-0.4381681823257929,-39.49215161813653,-32.418605956901814,48,6,42,4,2.0
67f864f1b7ea815cc3583637,0.04664481280026352,0.08954217235340658,1.6413154978430649,0.7235272370547572,-35.095689305325635,-29.13303982580746,47,9,38,4,2.0
680aac52abce2170943ff846,0.06878053899146375,0.031053610724269695,0.17266545000518416,-0.28112101334460454,-40.94112073680577,-32.63981530910317,48,7,41,4,2.0
68598a1d4cebd213b2abb1d9,0.0004991479263499526,0.026409604882038976,10.605261258018832,1.019874861929514,-34.495443760596544,-21.70199800378503,48,8,40,4,2.0
68e541cbbf146b5c074849ac,0.07591044977628522,0.027761451396689722,0.04322016670240031,0.9905714285801694,-33.8283054140844,-24.054597131689174,46,13,33,4,2.0
6902584f39b4b2ce82a5eda6,0.028978299210635366,0.16139668209140945,0.23954875057803693,0.6140270443060499,-36.64591976563089,-29.29362978428826,46,11,35,4,2.0
69124176667ec0990dfb9da1,0.03869673915610136,0.0506847544977233,13.23541391064205,1.1799962414463707,-18.96433393055422,-10.409975402768724,47,14,33,4,2.0
6917b43630e666e39c18fa7b,0.04017884303684309,0.18773509768790736,1.0397064616027478,0.1795154708973113,-35.27004688573313,-29.596521768349728,48,5,43,4,2.0
692d65c6d41395358622de47,0.06174450790840432,0.02430584359893725,3.0284395041167733,0.4988926315222648,-36.02210640486418,-29.273643135138634,47,16,31,4,2.0
692e41b6e14a945652e39997,0.009576779911648268,0.02362068140217792,19.069232243310356,0.28123070637065145,-27.19944726201529,-15.127861437834557,48,12,36,4,2.0
6932b19c5260dda743fca4af,0.01371835396134423,0.006792652612221253,13.844471979033058,-0.396482347137891,-25.138408891382362,-13.604466247658817,44,14,30,4,2.0
69727a44c5c16e6541319a6a,0.00968651797130887,0.09331237257445053,3.067072011236825,0.44240190788064354,-34.53839755747277,-27.269993443954018,48,12,36,4,2.0
697a7ca703a2f04efb2de9e9,0.0025943244829353274,0.032422113277198544,10.69794350224236,-0.12641036473602962,-27.11025793859113,-16.267638756572133,48,10,38,4,2.0
697a8232cf359493f5c6f3fb,0.0652251305584757,0.1876555537368932,0.029299713949993415,-0.12598531561486206,-31.431232461347307,-22.985174976334967,47,16,31,4,2.0
697cbad1e4fa658183a9a4ba,0.05811868866490458,0.06137127464094643,0.5844857318219828,-0.2740023278109655,-39.2023476466675,-32.476027471489786,48,16,32,4,2.0
