subject,alpha,beta,log_posterior,log_likelihood,n_trials,N,kappa
5987bfb80e411a0001d83837,0.014572970271720276,0.7367840180927997,-38.8427265596154,-33.64293927713479,48,6,2.0
5b2150d538b0be00014137fb,0.005332106297943125,1.097670332329277,-39.536871588010605,-33.61935110962213,48,6,2.0
5d83b53430e67e0018bf3b38,0.02430558938650635,0.3857610357573914,-39.127066724542004,-33.89882264028501,48,6,2.0
5dd0dce9ed7ea418f59810e4,0.02221848328764508,0.27481560323981086,-39.623162669256224,-34.00513763223963,48,6,2.0
5e6473fbc15dbe1f71eea95b,0.03117809094601503,0.36296956134315883,-37.07841469060883,-32.03880931096614,46,6,2.0
5e92178e8ee4fe54b65b7c39,0.021047947237082268,0.3001031369190719,-39.58850717076837,-33.997153754593626,48,6,2.0
5ee7fbc114d0a60f9b076fb6,0.01316729518737896,0.8781584244630173,-38.44459713973547,-33.273210379349855,48,6,2.0
602e48dbf732e9962e27fdbd,0.021795453840224802,0.4239534328932192,-39.11019699188961,-33.85719206116663,48,6,2.0
60a59d92b7363e85a2945dde,0.013647395286264987,1.710567783191546,-37.37168828735384,-32.62491129642385,48,6,2.0
60fcd2ade28cc412d542108c,0.028871050666670162,0.46627461156959177,-37.64635065044394,-32.74826823670163,48,6,2.0
612376826a580ca0368bb19f,0.01691964152544842,1.7715271420259846,-36.57993766342209,-32.05946094922155,48,6,2.0
615ab5adc70f6edcacba5860,0.00538195506847605,3.381392670826044,-37.61245815358866,-32.068049747470646,48,6,2.0
6162fc52fa68079d28dc5be9,0.005146456639625097,1.5446034096508838,-39.10279975008656,-33.34262744586794,48,6,2.0
63039f41fa5c21d483996be2,0.021301024020481302,0.8021179935384748,-38.32345219440987,-33.559583567763205,48,6,2.0
650f65aac58fe4dc08bbe23f_2,0.013558614995087776,1.117893838297966,-38.24928871212401,-33.268254224904965,48,6,2.0
654fd3d72b14d852c7fff2b4,0.026677519308680515,0.4045741911744613,-37.90430036298813,-32.808083182258855,48,6,2.0
6550edd3c5d5a51c51ab1224,0.02727621902888097,0.41610550853685946,-36.838828702623495,-31.788450158494893,48,6,2.0
656bb5b282d8f0267db9d167,0.018878747700969648,1.6049259717115105,-36.38127701740934,-31.92513654116675,48,6,2.0
65ccca52871269168cc029b5,0.007407228148765224,2.416830831437566,-37.255602756110314,-32.014250702458554,48,6,2.0
65f2f5ae1f9747ed36bd7226,0.027276256691530432,0.2020999507515009,-39.47680230248891,-33.77558381268774,48,6,2.0
65feaaac53eb219f09ad5ea0,0.03343967340377886,0.19585462814723925,-37.39943155618333,-31.866275161814652,47,6,2.0
65ff850ad8ac7b0e4cf9ec57,0.02992800371380503,0.3908049396617277,-38.65796223428741,-33.643336448828016,48,6,2.0
660bdc29f5dec2745c7e7ee3,0.028665803304114373,0.6553743687595279,-37.077145371773234,-32.44953840827946,48,6,2.0
660d675bbdf59327d9deb4ad,0.026018714403875185,0.5403332543623734,-37.09029006775772,-32.213842278186966,47,6,2.0
6613f83d1a9cf059d0af91ec,0.027227520493039985,0.2017965910856369,-39.77491797501456,-34.070560180294244,48,6,2.0
6614fb6af3c5aa23b962ea2d,0.021235009396259847,0.34107040322478893,-39.54130652155099,-34.07291712864365,48,6,2.0
6631997e0554bb6d25062fd4,0.013347843628664754,1.3476528678367103,-37.51041335820278,-32.624256930421836,48,6,2.0
663636e1e732142a9c211523,0.011003736052228118,0.7553241032408932,-39.38343993895248,-33.9250066360246,48,6,2.0
664c9a37d570871d534dd3c2,0.022665658083612567,0.5738574553230983,-38.26903682858409,-33.307080820412764,48,6,2.0
66723b1f7c3cf6961f0868a3,0.029074056038800814,0.32670898384465535,-38.646437296642155,-33.445969602994936,48,6,2.0
667a7ab2a6179deb78e9dd1a,0.023362309931216074,1.8085698192281496,-37.12881180365363,-32.9327556901343,48,6,2.0
667bd577710d52a05ac09036,0.02133491854631326,0.8844659925981415,-37.3877298673586,-32.69569556955343,48,6,2.0
669533c82c03a4d6320159d3,0.025499425125838113,0.590944993487523,-38.01329401164152,-33.18988535823038,48,6,2.0
66b0cd32e02e57ac86e82550,0.014385378028408552,0.6118087176672987,-39.23078007534452,-33.87401027617266,48,6,2.0
66b0ce2b37f5b9ab41e82585,0.030537824725175484,0.5361175958706623,-36.49820340094334,-31.77082765231595,48,6,2.0
66cc85c87017ef38adbaebc6,0.02424061135887815,0.4359449424564347,-38.677755542759556,-33.55247098343904,48,6,2.0
67911b9be5af0ac0763a28c7,0.031279384250074434,0.20501971713144537,-38.45737398721744,-32.90234477055653,48,6,2.0
67cc3f4c640c0ff4df30a225,0.016051488494386052,0.3748261457788738,-39.730252478872984,-34.07041694877522,48,6,2.0
67d1d172e049a486152a5ce9,0.02547608859599862,0.3846035724006178,-36.82389500000615,-31.638865351751715,45,6,2.0
67eb5332af03cf75862d5e87,0.01566671780822233,0.29698405167087344,-39.94594069139907,-34.05539662024877,48,6,2.0
67f864f1b7ea815cc3583637,0.010545939760547369,0.7567144873668176,-38.62176355285961,-33.12267473006671,47,6,2.0
680aac52abce2170943ff846,0.027461165028060067,0.46174920190902985,-37.73853162485415,-32.78358900347222,48,6,2.0
68598a1d4cebd213b2abb1d9,0.028406139132221904,0.41926569474452435,-38.833374623822785,-33.828936449439624,48,6,2.0
68e541cbbf146b5c074849ac,0.005305303646821421,2.6161106278125605,-37.86162796289597,-32.30144700302726,48,6,2.0
6902584f39b4b2ce82a5eda6,0.018944766261653964,1.014156192936536,-37.790009911087026,-33.075195578582644,48,6,2.0
69124176667ec0990dfb9da1,0.03056257009835276,0.28730403162693086,-38.84669025645225,-33.57922429447009,48,6,2.0
6917b43630e666e39c18fa7b,0.021573091683431005,0.33118166318271874,-39.37954049692536,-33.900475589392755,48,6,2.0
692d65c6d41395358622de47,0.010453811474392631,1.31673393314201,-38.48480222871655,-33.34428271790671,48,6,2.0
692e41b6e14a945652e39997,0.017133713197684346,1.6277085297923197,-36.922825962715876,-32.37797514238979,48,6,2.0
6932b19c5260dda743fca4af,0.008385626069539619,1.234912736924812,-38.70883690592745,-33.31307732376039,48,6,2.0
69727a44c5c16e6541319a6a,0.009615434437115128,2.992247177165363,-36.627799946826,-31.666896103473004,48,6,2.0
697a7ca703a2f04efb2de9e9,0.031160264780360807,0.2999674312597615,-37.30646464382817,-32.09666138600819,48,6,2.0
697a8232cf359493f5c6f3fb,0.018466501364965252,0.5604997107558479,-38.94915643296662,-33.767495474323134,48,6,2.0
697cbad1e4fa658183a9a4ba,0.024813375889581425,1.4367871994061328,-35.051182495230194,-30.80769899230144,48,6,2.0
